,Month,EFA Block,Dynamic Amount required (MW),,,,,Month,EFA Block,Non-Dynamic Amount required (MW),,,,,,,,,,,
,,,Primary,Secondary,High,,,,,Primary,Secondary,High,,,,,,,,,
Winter,Jan-2021,EFA 1,362,362,262,,Winter,Jan-2021,EFA 1,0,0,0,,,,,,,,,
,,EFA 2,362,362,262,,,,EFA 2,0,0,0,,,,,,,,,
,,EFA 3,450,450,350,,,,EFA 3,0,0,0,,,,,,,,,
,,EFA 4,450,450,350,,,,EFA 4,0,0,0,,,,,,,,,
,,EFA 5,450,450,350,,,,EFA 5,0,0,0,,,,,,,,,
,,EFA 6,450,450,350,,,,EFA 6,0,0,0,,,,,,,,,
,Feb-2021,EFA 1,362,362,262,,,Feb-2021,EFA 1,0,0,0,,,,,,,,,
,,EFA 2,362,362,262,,,,EFA 2,0,0,0,,,,,,,,,
,,EFA 3,450,450,350,,,,EFA 3,0,0,0,,,,,,,,,
,,EFA 4,450,450,350,,,,EFA 4,0,0,0,,,,,,,,,
,,EFA 5,450,450,350,,,,EFA 5,0,0,0,,,,,,,,,
,,EFA 6,450,450,350,,,,EFA 6,0,0,0,,,,,,,,,
,Mar-2021,EFA 1,362,362,262,,,Mar-2021,EFA 1,0,0,0,,,,,,,,,
,,EFA 2,362,362,262,,,,EFA 2,0,0,0,,,,,,,,,
,,EFA 3,450,450,350,,,,EFA 3,0,0,0,,,,,,,,,
,,EFA 4,450,450,350,,,,EFA 4,0,0,0,,,,,,,,,
,,EFA 5,450,450,350,,,,EFA 5,0,0,0,,,,,,,,,
,,EFA 6,450,450,350,,,,EFA 6,0,0,0,,,,,,,,,
